customer_id,customer_name,gender,age,city,state,join_date
1,Sarah Peterson,Male,64,North Johntown,California,2024-05-24
2,Valerie Cruz,Male,61,East Anafurt,Wyoming,2022-05-25
3,Stephanie Marshall,Male,39,Derrickside,Colorado,2024-09-16
4,Kristie Yu,Female,44,West Johnberg,North Dakota,2023-03-11
5,Daniel Phillips,Male,30,Lake Christine,Alabama,2022-09-20
6,Evelyn Williams,Female,27,Nicholasstad,New Jersey,2026-06-27
7,Angela Johnson,Female,39,Martinezmouth,Utah,2023-07-04
8,Katrina Martinez,Female,64,North Samantha,Alaska,2025-12-02
9,Michelle Ali,Male,32,New Melindaville,Wyoming,2022-09-02
10,Jacqueline Braun,Male,51,Martinshire,Mississippi,2025-09-30
11,Dr. Heather Watson,Female,33,Roberttown,Nevada,2024-11-02
12,Alyssa Valdez,Female,69,Nicholsville,Maine,2025-07-30
13,Meagan Clark,Female,45,Amandamouth,Wyoming,2023-05-18
14,Carrie Johnson,Male,18,Burtonchester,West Virginia,2023-10-18
15,Manuel Hernandez,Female,70,Christopherburgh,Montana,2025-01-18
16,Patrick Welch,Female,43,Thomasmouth,Maine,2021-09-18
17,Jason Hernandez,Male,45,Wilsonburgh,West Virginia,2022-08-06
18,Christine Willis,Female,60,Butlerville,South Dakota,2022-02-24
19,Kimberly Evans,Female,36,East Seantown,Illinois,2021-07-17
20,Matthew Allen,Male,70,South Jessicaberg,Wisconsin,2024-04-05
21,Destiny Garcia,Female,21,Tiffanyview,California,2025-11-02
22,Debra Hall,Female,31,East Daniel,North Carolina,2022-03-31
23,Robert Stevens,Female,51,West Raymond,Connecticut,2023-03-01
24,James Jensen,Male,34,East Johnland,Tennessee,2024-06-24
25,Wendy Robinson,Male,43,Robertsland,Alaska,2024-07-20
26,Cassandra Kemp,Female,41,Bradleychester,South Dakota,2026-02-05
27,Michael Hardy,Male,53,East Joshuamouth,Texas,2022-04-15
28,Karen Byrd,Female,21,New Adamborough,Tennessee,2025-02-14
29,Jonathan Wilson,Female,39,East Suzanne,Maine,2021-11-24
30,Christian Andrews,Female,66,Juanstad,Oregon,2025-02-09
31,Mark Butler,Male,27,Lake Katelyn,Kentucky,2023-09-17
32,Michael Burch,Male,44,Stephenshire,Nebraska,2022-05-16
33,Katelyn Lee,Male,35,Port Andrew,Nebraska,2021-09-30
34,Gregory Stone,Male,26,Lake Tony,West Virginia,2023-11-08
35,Donna Pittman,Male,69,Meghanshire,Maine,2021-08-20
36,Jenny Ritter,Male,60,West Jamesfort,Minnesota,2025-10-04
37,Larry Clark,Female,27,South Sean,New Mexico,2024-04-14
38,Debra Taylor,Female,55,Johnstonton,Georgia,2022-07-22
39,Daniel Ward,Male,53,Port Jeanchester,Alaska,2024-12-27
40,Julie Holmes,Male,20,Anthonyton,Idaho,2022-02-16
41,Wesley Peterson,Male,45,Sandraton,Georgia,2024-07-19
42,Scott Stafford,Male,63,Richardton,Oregon,2023-11-11
43,Joshua Bush,Female,35,New Ashleyfort,Minnesota,2026-05-04
44,Janet Wang,Male,70,West Charles,Tennessee,2025-08-24
45,Jasmine Powers,Female,51,Kevinview,North Carolina,2025-02-14
46,Megan Russell,Male,63,Harperland,Washington,2023-07-11
47,Amy Arnold,Female,35,Ruizmouth,Washington,2022-04-03
48,Matthew Mccarthy,Female,21,Lake Justin,South Dakota,2021-08-15
49,Jeanne Velasquez,Female,37,Port Davidhaven,Delaware,2023-10-09
50,Victor Young,Female,53,Port Martinburgh,Texas,2026-06-03
51,Sarah Acosta,Male,32,Deniseton,Indiana,2022-12-16
52,Rodney Cook III,Male,31,Robinsonton,Washington,2021-11-17
53,Nancy Simpson,Male,34,Lake Claire,Washington,2021-07-13
54,Sara Ward,Female,63,Lake Ashley,Delaware,2022-06-24
55,Matthew Lewis,Female,18,Michelletown,Nevada,2021-12-14
56,Kristina King,Male,62,East Rickfurt,Nebraska,2023-01-10
57,Michael Green,Female,51,Tylerton,Hawaii,2022-01-17
58,Diana Wang,Male,58,North Jasonton,Nebraska,2021-09-15
59,Mr. David Ramirez DVM,Female,65,North Jonathantown,Rhode Island,2022-08-12
60,Wendy Prince,Male,65,Taylorside,Nebraska,2025-08-17
61,Tonya Moreno,Male,43,West Rachel,Illinois,2024-07-02
62,Stephen Zuniga,Male,22,South Mariaton,Hawaii,2023-06-29
63,Matthew Wood,Female,43,South Tracymouth,Ohio,2024-12-15
64,Ashley May,Male,53,South Matthew,California,2023-10-01
65,Ashley Russo,Male,22,New Jacob,Delaware,2023-08-14
66,Travis Perez,Male,69,Lake Pamelachester,Arkansas,2024-05-29
67,Shane Floyd,Male,20,Port Melissatown,Florida,2026-01-07
68,Samuel Brown,Female,32,Jeremyside,Idaho,2025-05-29
69,James Hartman,Male,47,Valeriechester,Arizona,2026-03-23
70,Elizabeth Choi,Male,51,West Seth,Hawaii,2025-09-24
71,Elizabeth Williams,Female,55,Alexanderburgh,Alabama,2025-01-17
72,Trevor Taylor,Male,19,Gregoryport,Delaware,2026-05-03
73,Mrs. Miranda Davis,Female,62,Lake Beverlyhaven,Wisconsin,2023-06-26
74,Priscilla Klein,Female,60,Wesleyport,Mississippi,2022-02-18
75,Matthew Washington,Male,67,Carterville,Florida,2022-07-27
